022-02-25 16:58:53,589 - __main__ - INFO - Preparing Client
2022-02-25 18:00:04,812 - __main__ - INFO - ROUND: 19 END
2022-02-25 18:00:04,812 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 18:00:04,977 - __main__ - INFO - ==> Reinitialization for Round : 20
2022-02-25 18:00:08,146 - __main__ - INFO - Rebuild time: 3.169360876083374
2022-02-25 18:00:08,147 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 18:00:08,148 - __main__ - INFO - ====================================>
2022-02-25 18:00:08,148 - __main__ - INFO - ROUND: 20 START
2022-02-25 18:00:08,707 - Client - INFO - Network speed is 36.67304468851583
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.57s/it]
2022-02-25 18:03:07,243 - Client - INFO - Total time: 178.53292965888977
2022-02-25 18:03:07,244 - Client - INFO - 50 iterations!!
2022-02-25 18:03:07,245 - Client - INFO - training_time_per_iteration: 3.570658593177795
2022-02-25 18:03:07,248 - __main__ - INFO - ROUND: 20 END
2022-02-25 18:03:07,249 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 18:03:07,394 - __main__ - INFO - ==> Reinitialization for Round : 21
2022-02-25 18:03:10,554 - __main__ - INFO - Rebuild time: 3.1589839458465576
2022-02-25 18:03:10,555 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 18:03:10,556 - __main__ - INFO - ====================================>
2022-02-25 18:03:10,556 - __main__ - INFO - ROUND: 21 START
2022-02-25 18:03:11,127 - Client - INFO - Network speed is 35.91922166342806
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.57s/it]
2022-02-25 18:06:09,454 - Client - INFO - Total time: 178.32499194145203
2022-02-25 18:06:09,455 - Client - INFO - 50 iterations!!
2022-02-25 18:06:09,455 - Client - INFO - training_time_per_iteration: 3.5664998388290403
2022-02-25 18:06:09,458 - __main__ - INFO - ROUND: 21 END
2022-02-25 18:06:09,459 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 18:06:09,628 - __main__ - INFO - ==> Reinitialization for Round : 22
2022-02-25 18:06:12,774 - __main__ - INFO - Rebuild time: 3.145735025405884
2022-02-25 18:06:12,775 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 18:06:12,776 - __main__ - INFO - ====================================>
2022-02-25 18:06:12,777 - __main__ - INFO - ROUND: 22 START
2022-02-25 18:06:13,319 - Client - INFO - Network speed is 37.82412568801684
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.57s/it]
2022-02-25 18:09:11,931 - Client - INFO - Total time: 178.60958456993103
2022-02-25 18:09:11,932 - Client - INFO - 50 iterations!!
2022-02-25 18:09:11,932 - Client - INFO - training_time_per_iteration: 3.5721916913986207
2022-02-25 18:09:11,935 - __main__ - INFO - ROUND: 22 END
2022-02-25 18:09:11,936 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 18:09:12,116 - __main__ - INFO - ==> Reinitialization for Round : 23
2022-02-25 18:09:15,340 - __main__ - INFO - Rebuild time: 3.2228024005889893
2022-02-25 18:09:15,341 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 18:09:15,342 - __main__ - INFO - ====================================>
2022-02-25 18:09:15,343 - __main__ - INFO - ROUND: 23 START
2022-02-25 18:09:15,862 - Client - INFO - Network speed is 39.45698050286674
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:57<00:00,  3.55s/it]
2022-02-25 18:12:13,169 - Client - INFO - Total time: 177.30481553077698
2022-02-25 18:12:13,170 - Client - INFO - 50 iterations!!
2022-02-25 18:12:13,170 - Client - INFO - training_time_per_iteration: 3.5460963106155394
2022-02-25 18:12:13,172 - __main__ - INFO - ROUND: 23 END
2022-02-25 18:12:13,173 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 18:12:13,316 - __main__ - INFO - ==> Reinitialization for Round : 24
2022-02-25 18:12:16,554 - __main__ - INFO - Rebuild time: 3.23811674118042
2022-02-25 18:12:16,555 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 18:12:16,556 - __main__ - INFO - ====================================>
2022-02-25 18:12:16,556 - __main__ - INFO - ROUND: 24 START
2022-02-25 18:12:17,074 - Client - INFO - Network speed is 39.59482337301604
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.57s/it]
2022-02-25 18:15:15,452 - Client - INFO - Total time: 178.37657618522644
2022-02-25 18:15:15,453 - Client - INFO - 50 iterations!!
2022-02-25 18:15:15,453 - Client - INFO - training_time_per_iteration: 3.567531523704529
2022-02-25 18:15:15,455 - __main__ - INFO - ROUND: 24 END
2022-02-25 18:15:15,455 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 18:15:15,598 - __main__ - INFO - ==> Reinitialization for Round : 25
2022-02-25 18:15:18,801 - __main__ - INFO - Rebuild time: 3.202718734741211
2022-02-25 18:15:18,802 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 18:15:18,803 - __main__ - INFO - ====================================>
2022-02-25 18:15:18,804 - __main__ - INFO - ROUND: 25 START
2022-02-25 18:15:19,299 - Client - INFO - Network speed is 41.41919238228229
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:59<00:00,  3.58s/it]
2022-02-25 18:18:18,412 - Client - INFO - Total time: 179.11123967170715
2022-02-25 18:18:18,413 - Client - INFO - 50 iterations!!
2022-02-25 18:18:18,413 - Client - INFO - training_time_per_iteration: 3.582224793434143
2022-02-25 18:18:18,416 - __main__ - INFO - ROUND: 25 END
2022-02-25 18:18:18,416 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 18:18:18,515 - __main__ - INFO - ==> Reinitialization for Round : 26
2022-02-25 18:18:21,724 - __main__ - INFO - Rebuild time: 3.208012580871582
2022-02-25 18:18:21,725 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 18:18:21,725 - __main__ - INFO - ====================================>
2022-02-25 18:18:21,726 - __main__ - INFO - ROUND: 26 START
2022-02-25 18:18:22,232 - Client - INFO - Network speed is 40.479473791108305
ras
 96%|█████████████████████████████████████████████████████████████████▎  | 48/50 [02:51<00:06,  3.39s/it]

